experiment,drift_type,churn_ratio,drift_magnitude,model,accuracy,precision,recall,f1_score,roc_auc
prior_drift,Prior,0.15,0.15,Logistic Regression,0.8226324237560193,0.4782608695652174,0.5213270142180095,0.4988662131519274,0.8384916546466104
prior_drift,Prior,0.15,0.15,Random Forest,0.8001605136436597,0.4251968503937008,0.5118483412322274,0.4645161290322581,0.8022620601231771
prior_drift,Prior,0.15,0.15,XGBoost,0.819422150882825,0.4692982456140351,0.5071090047393365,0.4874715261958998,0.8302424617075348
prior_drift,Prior,0.15,0.15,SVM,0.8306581059390048,0.0,0.0,0.0,0.8091215055979118
prior_drift,Prior,0.2,0.2,Logistic Regression,0.7986322188449848,0.53125,0.48398576512455516,0.5065176908752328,0.8216050337820413
prior_drift,Prior,0.2,0.2,Random Forest,0.7803951367781155,0.4859154929577465,0.49110320284697506,0.48849557522123893,0.7867123970636272
prior_drift,Prior,0.2,0.2,XGBoost,0.8016717325227963,0.5381679389312977,0.501779359430605,0.5193370165745856,0.8235683463132016
prior_drift,Prior,0.2,0.2,SVM,0.7864741641337386,0.0,0.0,0.0,0.7981140509223443
prior_drift,Prior,0.27,0.27,Logistic Regression,0.7780918727915195,0.6078431372549019,0.48947368421052634,0.5422740524781341,0.8239549961861174
prior_drift,Prior,0.27,0.27,Random Forest,0.7583038869257951,0.5575757575757576,0.4842105263157895,0.5183098591549296,0.7876659038901602
prior_drift,Prior,0.27,0.27,XGBoost,0.7780918727915195,0.6071428571428571,0.4921052631578947,0.5436046511627907,0.8205390287312484
prior_drift,Prior,0.27,0.27,SVM,0.7314487632508834,0.0,0.0,0.0,0.7960653445207221
prior_drift,Prior,0.35,0.35,Logistic Regression,0.7552356020942408,0.6657381615598886,0.4847870182555781,0.5610328638497653,0.8273951259664286
prior_drift,Prior,0.35,0.35,Random Forest,0.7401832460732984,0.6237113402061856,0.4908722109533469,0.5493757094211124,0.7924733711575584
prior_drift,Prior,0.35,0.35,XGBoost,0.7591623036649214,0.670299727520436,0.49898580121703856,0.5720930232558139,0.8263956257165536
prior_drift,Prior,0.35,0.35,SVM,0.6773560209424084,0.0,0.0,0.0,0.7965046888320546
prior_drift,Prior,0.45,0.45,Logistic Regression,0.7333732774116237,0.7202797202797203,0.48738170347003157,0.58137347130762,0.8200300217924686
prior_drift,Prior,0.45,0.45,Random Forest,0.7100059916117436,0.669683257918552,0.4668769716088328,0.550185873605948,0.7880430972736556
prior_drift,Prior,0.45,0.45,XGBoost,0.7327741162372678,0.7186046511627907,0.48738170347003157,0.5808270676691729,0.8171177555281245
prior_drift,Prior,0.45,0.45,SVM,0.6201318154583583,0.0,0.0,0.0,0.7899137444947347
prior_drift,Prior,0.55,0.55,Logistic Regression,0.7131011608623549,0.7575757575757576,0.4844961240310077,0.5910165484633569,0.8193773483628556
prior_drift,Prior,0.55,0.55,Random Forest,0.6959646213377557,0.7170542635658915,0.4780361757105943,0.5736434108527132,0.7866182326580036
prior_drift,Prior,0.55,0.55,XGBoost,0.7103372028745163,0.7540650406504065,0.479328165374677,0.5860979462875198,0.8178444369546491
prior_drift,Prior,0.55,0.55,SVM,0.572139303482587,0.0,0.0,0.0,0.7913018512277021
